x-axis,1,2,3
second,Volt,Volt,Volt
-114.381598E-03,,,
-114.378498E-03,,,
-114.375398E-03,-11.349352E-03,+29.835067E-03,+40.795036E-03
-114.372298E-03,-9.406084E-03,+1.754819E-03,+31.078695E-03
-114.369198E-03,-6.598060E-03,+49.267743E-03,+7.322233E-03
-114.366098E-03,-11.349352E-03,+29.835050E-03,+7.322233E-03
-114.362998E-03,-13.292622E-03,-17.677862E-03,+7.322233E-03
-114.359898E-03,-16.100642E-03,-17.677862E-03,+7.322233E-03
-114.356798E-03,-13.292623E-03,+1.754847E-03,+7.322233E-03
-114.353698E-03,-16.100641E-03,+49.267743E-03,+7.322233E-03
-114.350598E-03,-11.349352E-03,+29.835022E-03,+7.322233E-03
-114.347498E-03,-13.292625E-03,+1.754864E-03,+26.754960E-03
-114.344398E-03,-16.100640E-03,+39.551377E-03,+64.551472E-03
-114.341298E-03,-11.349352E-03,+15.794940E-03,+31.078667E-03
-114.338198E-03,-9.406078E-03,+6.078568E-03,+26.754977E-03
-114.335098E-03,-6.598066E-03,-7.961488E-03,+54.835089E-03
-114.331998E-03,-13.292628E-03,+6.078563E-03,+7.322233E-03
-114.328898E-03,-18.043913E-03,-7.961482E-03,+17.038613E-03
-114.325798E-03,-16.100636E-03,+25.511323E-03,+21.362269E-03
-114.322698E-03,-11.349352E-03,+49.267743E-03,-16.434183E-03
-114.319598E-03,-9.406074E-03,+39.551354E-03,+7.322233E-03
-114.316498E-03,-8.541348E-03,+15.794940E-03,+17.038625E-03
-114.313398E-03,-16.100634E-03,+15.794940E-03,+40.795036E-03
-114.310298E-03,-11.349352E-03,+25.511338E-03,+31.078638E-03
-114.307198E-03,-11.349352E-03,+39.551343E-03,+17.038633E-03
-114.304098E-03,-11.349352E-03,+15.794940E-03,+40.795036E-03
-114.300998E-03,-11.349352E-03,+15.794940E-03,+31.078630E-03
-114.297898E-03,-11.349352E-03,+6.078532E-03,-2.394175E-03
-114.294798E-03,-13.292634E-03,+1.754961E-03,-6.717746E-03
-114.291698E-03,-14.157347E-03,+49.267743E-03,+31.078621E-03
-114.288598E-03,-2.711508E-03,+39.551326E-03,+17.038650E-03
-114.285498E-03,+2.039770E-03,+25.511360E-03,+31.078616E-03
-114.282398E-03,+96.485E-06,+39.551320E-03,-12.110612E-03
