x-axis,1,2,3
second,Volt,Volt,Volt
-10.0000000E-03,-18.0439502E-03,+28.2949880E-03,-28.9750211E-03
-9.9996900E-03,-18.0439170E-03,+28.2949548E-03,+4.4977482E-03
-9.9993800E-03,+15.4288523E-03,-5.1777481E-03,-28.9750211E-03
-9.9990700E-03,+15.4288523E-03,+28.2949880E-03,-28.9750211E-03
-9.9987600E-03,+15.4288523E-03,+28.2948552E-03,-28.9750211E-03
-9.9984500E-03,+15.4288523E-03,-5.1776485E-03,-28.9750211E-03
-9.9981400E-03,+15.4286531E-03,+28.2947888E-03,-28.9750211E-03
-9.9978300E-03,-18.0439502E-03,-5.1775821E-03,-28.9752535E-03
-9.9975200E-03,-18.0439502E-03,+28.2949880E-03,-62.4475580E-03
-9.9972100E-03,-18.0439502E-03,+28.2949880E-03,-28.9747223E-03
-9.9969000E-03,-18.0439502E-03,+28.2953200E-03,+4.4977814E-03
-9.9965900E-03,-18.0435850E-03,+61.7670600E-03,+4.4974162E-03
-9.9962800E-03,+15.4288523E-03,-5.1774161E-03,-28.9746227E-03
-9.9959700E-03,+15.4292839E-03,+28.2945563E-03,+4.4969181E-03
-9.9956600E-03,+48.9007251E-03,-5.1773497E-03,-62.4468939E-03
-9.9953500E-03,-18.0439502E-03,+28.2954860E-03,+4.4972834E-03
-9.9950400E-03,-18.0439502E-03,+61.7672592E-03,-28.9744898E-03
-9.9947300E-03,-18.0433858E-03,+28.2944235E-03,+4.4972169E-03
-9.9944200E-03,+15.4282546E-03,-5.1784122E-03,-28.9750211E-03
-9.9941100E-03,-18.0426885E-03,-38.6487244E-03,-28.9756519E-03
-9.9938000E-03,+48.9003267E-03,+61.7657983E-03,-62.4464955E-03
-9.9934900E-03,-18.0432529E-03,-38.6499197E-03,+4.4970841E-03
-9.9931800E-03,+15.4288523E-03,-5.1778145E-03,-28.9742906E-03
-9.9928700E-03,+15.4280886E-03,-5.1762872E-03,+4.4970177E-03
-9.9925600E-03,-18.0439502E-03,+61.7669936E-03,-28.9750211E-03
-9.9922500E-03,-18.0439502E-03,+28.2958180E-03,-28.9741910E-03
-9.9919400E-03,-18.0448135E-03,+61.7669272E-03,+4.4986447E-03
-9.9916300E-03,-51.5158562E-03,+28.2940915E-03,+37.9696874E-03
-9.9913200E-03,-18.0430205E-03,-5.1759552E-03,+4.4968517E-03
-9.9910100E-03,+15.4269265E-03,+61.7668276E-03,-28.9740582E-03
-9.9907000E-03,-51.5167527E-03,+28.2939919E-03,+4.4967853E-03
-9.9903900E-03,-51.5146941E-03,-5.1767852E-03,-28.9750211E-03
-9.9900800E-03,+15.4299148E-03,+28.2949880E-03,-28.9739586E-03
-9.9897700E-03,+48.9005591E-03,+28.2949880E-03,+4.4977814E-03
-9.9894600E-03,+15.4277234E-03,+28.2938591E-03,+4.4977814E-03
-9.9891500E-03,-18.0416260E-03,-5.1766524E-03,+4.4954572E-03
-9.9888400E-03,+48.8992642E-03,+28.2937927E-03,-62.4454330E-03
-9.9885300E-03,-18.0439502E-03,-5.1790430E-03,+4.4965529E-03
-9.9882200E-03,-18.0439502E-03,-38.6493553E-03,-28.9750211E-03
-9.9879100E-03,-18.0426553E-03,-5.1752247E-03,-28.9750211E-03
-9.9876000E-03,+15.4288523E-03,+61.7664624E-03,-28.9736930E-03
-9.9872900E-03,+15.4261297E-03,+28.2949880E-03,+4.4964201E-03
-9.9869800E-03,-51.5139636E-03,+28.2949880E-03,-28.9750211E-03
-9.9866700E-03,+15.4288523E-03,+28.2949880E-03,-28.9750211E-03
-9.9863600E-03,+15.4259304E-03,+28.2949880E-03,-28.9750211E-03
-9.9860500E-03,-51.5137644E-03,+28.2949880E-03,-28.9750211E-03
-9.9857400E-03,+15.4288523E-03,+28.2934606E-03,-28.9734938E-03
-9.9854300E-03,+15.4272918E-03,-5.1762540E-03,+4.4977814E-03
-9.9851200E-03,-18.0407627E-03,+28.2949880E-03,+4.4945939E-03
-9.9848100E-03,+48.9000278E-03,+28.2949880E-03,-62.4461966E-03
-9.9845000E-03,+15.4288523E-03,+28.2949880E-03,-28.9750211E-03
-9.9841900E-03,+15.4288523E-03,+28.2949880E-03,-28.9750211E-03
-9.9838800E-03,+15.4288523E-03,+28.2967145E-03,-28.9750211E-03
-9.9835700E-03,+15.4288523E-03,+61.7660307E-03,-28.9732613E-03
-9.9832600E-03,+15.4270593E-03,+28.2931950E-03,+4.4941955E-03
-9.9829500E-03,-18.0421240E-03,-5.1759884E-03,-62.4459974E-03
-9.9826400E-03,+15.4269929E-03,+28.2931286E-03,-28.9731617E-03
-9.9823300E-03,-18.0420576E-03,-5.1740294E-03,+4.4939963E-03
-9.9820200E-03,+15.4269265E-03,+61.7658647E-03,-62.4458978E-03
-9.9817100E-03,-18.0419912E-03,+28.2949880E-03,-28.9730621E-03
-9.9814000E-03,+15.4288523E-03,+28.2910036E-03,+4.4957892E-03
-9.9810900E-03,+15.4268269E-03,-38.6465663E-03,-28.9770465E-03
-9.9807800E-03,-18.0439502E-03,+28.2949880E-03,-62.4416478E-03
-9.9804700E-03,-18.0418584E-03,+28.2970798E-03,+37.9643085E-03
-9.9801600E-03,+15.4288523E-03,+61.7656655E-03,-62.4456986E-03
-9.9798500E-03,+15.4245359E-03,+28.2928298E-03,-28.9728629E-03
-9.9795400E-03,-51.5123699E-03,-5.1778145E-03,+4.4933986E-03
-9.9792300E-03,+15.4288523E-03,-5.1755899E-03,-62.4433744E-03
-9.9789200E-03,+15.4265945E-03,+28.2949880E-03,+4.4955236E-03
-9.9786100E-03,-18.0416592E-03,+28.2949880E-03,-28.9750211E-03
-9.9783000E-03,+15.4265281E-03,+28.2949880E-03,-28.9726969E-03
-9.9779900E-03,-18.0439502E-03,+28.2926306E-03,+4.4977814E-03
-9.9776800E-03,-18.0415596E-03,-5.1778145E-03,+4.4953908E-03
-9.9773700E-03,+15.4240047E-03,-5.1778145E-03,-28.9701735E-03
-9.9770600E-03,-51.5118387E-03,-5.1778145E-03,+37.9632128E-03
-9.9767500E-03,+15.4288523E-03,-5.1753243E-03,-62.4453334E-03
-9.9764400E-03,+15.4263289E-03,+28.2949880E-03,-28.9724977E-03
-9.9761300E-03,-18.0413936E-03,+28.2924314E-03,+4.4952248E-03
-9.9758200E-03,+15.4262625E-03,-5.1778145E-03,-28.9750211E-03
-9.9755100E-03,-18.0387041E-03,-5.1751915E-03,-28.9776441E-03
-9.9752000E-03,+48.8936861E-03,+28.2949880E-03,-62.4478236E-03
-9.9748899E-03,-51.5140633E-03,+28.2976774E-03,-62.4424447E-03
-9.9745799E-03,-18.0466728E-03,+61.7650678E-03,+4.4896135E-03
-9.9742699E-03,-51.5139969E-03,+28.2922321E-03,-95.9178702E-03
-9.9739599E-03,-18.0411612E-03,-5.1778145E-03,-62.4478236E-03
-9.9736499E-03,+15.4260300E-03,-5.1749923E-03,-62.4421791E-03
-9.9733399E-03,-18.0410948E-03,+28.2949880E-03,+4.4949259E-03
-9.9730299E-03,+15.4259636E-03,+28.2920993E-03,-28.9721324E-03
-9.9727199E-03,-18.0381065E-03,-5.1778145E-03,+4.4948595E-03
-9.9724099E-03,+48.8986997E-03,-5.1748595E-03,-28.9720660E-03
-9.9720999E-03,+15.4288523E-03,+28.2919997E-03,+4.4977814E-03
-9.9717899E-03,+15.4228094E-03,-5.1808360E-03,+4.4977814E-03
-9.9714799E-03,-51.5136980E-03,-38.6445077E-03,+4.4916721E-03
-9.9711699E-03,-18.0408623E-03,+28.2919001E-03,-62.4416478E-03
-9.9708599E-03,+15.4288523E-03,-5.1746934E-03,+4.4977814E-03
-9.9705499E-03,+15.4288523E-03,+28.2949880E-03,+4.4946271E-03
-9.9702399E-03,+15.4288523E-03,+28.2918005E-03,-28.9782086E-03
-9.9699299E-03,+15.4288523E-03,-5.1778145E-03,-62.4446029E-03
-9.9696199E-03,+15.4255984E-03,-5.1745606E-03,-28.9750211E-03
-9.9693099E-03,-18.0439502E-03,+28.2949880E-03,-28.9750211E-03
-9.9689999E-03,-18.0439502E-03,+28.2916677E-03,-28.9750211E-03
-9.9686899E-03,-18.0439502E-03,-5.1744610E-03,-28.9716676E-03
-9.9683799E-03,-18.0405635E-03,+28.2916013E-03,+4.4910080E-03
-9.9680699E-03,+15.4220125E-03,-5.1743946E-03,-62.4478236E-03
-9.9677599E-03,-51.5167527E-03,+28.2949880E-03,-62.4409174E-03
-9.9674499E-03,-51.5167527E-03,+28.2949880E-03,+4.4942951E-03
-9.9671399E-03,-51.5132332E-03,+28.2949880E-03,-28.9750211E-03
-9.9668299E-03,-18.0403975E-03,+28.2985407E-03,-28.9750211E-03
-9.9665199E-03,+15.4288523E-03,+61.7606186E-03,-28.9786070E-03
-9.9662099E-03,+15.4288523E-03,-5.1741954E-03,-62.4442045E-03
-9.9658999E-03,+15.4288523E-03,+28.2913357E-03,-28.9750211E-03
-9.9655899E-03,+15.4288523E-03,-5.1778145E-03,-28.9787066E-03
-9.9652799E-03,+15.4325710E-03,-5.1740958E-03,-62.4441049E-03
-9.9649699E-03,+48.8903990E-03,+28.2987399E-03,-28.9750211E-03
-9.9646599E-03,-51.5091824E-03,+61.7602202E-03,-28.9712360E-03
-9.9643499E-03,+15.4288523E-03,-5.1739962E-03,+4.4939631E-03
-9.9640399E-03,+15.4288523E-03,+28.2949880E-03,-28.9673180E-03
-9.9637299E-03,+15.4288523E-03,+28.2949880E-03,+37.9628144E-03
-9.9634199E-03,+15.4249344E-03,+28.2949880E-03,-28.9789390E-03
-9.9631099E-03,-18.0479013E-03,+28.2949880E-03,-62.4399213E-03
-9.9627999E-03,-51.5127683E-03,+28.2949880E-03,+4.4937971E-03
-9.9624899E-03,-18.0439502E-03,+28.2909704E-03,-28.9750211E-03
-9.9621799E-03,-18.0439502E-03,-5.1697130E-03,-28.9669196E-03
-9.9618699E-03,-18.0398662E-03,+61.7637065E-03,+37.9583320E-03
-9.9615599E-03,+15.4247351E-03,+28.2949880E-03,-62.4437064E-03
-9.9612499E-03,-18.0397998E-03,+28.2949880E-03,-28.9750211E-03
-9.9609399E-03,+15.4288523E-03,+28.2908044E-03,-28.9750211E-03
-9.9606299E-03,+15.4288523E-03,-5.1735977E-03,-28.9750211E-03
-9.9603199E-03,+15.4288523E-03,+28.2949880E-03,-28.9707711E-03
-9.9600099E-03,+15.4245691E-03,+28.2949880E-03,+4.4934982E-03
-9.9596999E-03,-18.0396338E-03,+28.2949880E-03,-28.9707047E-03
-9.9593899E-03,+15.4288523E-03,+28.2906384E-03,+4.4934318E-03
-9.9590799E-03,+15.4244695E-03,-5.1734317E-03,-28.9750211E-03
-9.9587699E-03,-18.0351182E-03,+28.2905720E-03,-28.9750211E-03
-9.9584599E-03,+48.8927564E-03,-5.1733653E-03,-28.9750211E-03
-9.9581499E-03,-18.0394678E-03,+28.2949880E-03,-28.9750211E-03
-9.9578399E-03,+15.4288523E-03,+28.2904724E-03,-28.9705055E-03
-9.9575299E-03,+15.4334011E-03,-5.1732657E-03,+4.4977814E-03
-9.9572199E-03,+48.8970728E-03,+28.2904060E-03,+4.4931994E-03
-9.9569099E-03,+15.4242371E-03,-5.1778145E-03,-28.9796363E-03
-9.9565999E-03,-18.0439502E-03,-5.1731661E-03,-62.4385268E-03
-9.9562899E-03,-18.0439502E-03,+28.2996696E-03,+4.4930998E-03
-9.9559799E-03,-18.0392354E-03,+61.7630757E-03,-28.9703063E-03
-9.9556699E-03,+15.4288523E-03,+28.2902400E-03,+4.4930334E-03
-9.9553599E-03,+15.4288523E-03,-5.1825957E-03,-28.9750211E-03
-9.9550499E-03,+15.4192235E-03,-38.6361738E-03,-28.9750211E-03
-9.9547399E-03,-51.5070574E-03,+61.7629428E-03,-28.9750211E-03
