x-axis,1,2,3
second,Volt,Volt,Volt
-265.200000E-03,,,
-265.192250E-03,,,
-265.184500E-03,,,
-265.176750E-03,,,
-265.169000E-03,,,
-265.161250E-03,,,
-265.153500E-03,,,
-265.145750E-03,,,
-265.138000E-03,,,
-265.130250E-03,,,
-265.122500E-03,,,
-265.114750E-03,,,
-265.107000E-03,,,
-265.099250E-03,,,
-265.091500E-03,,,
-265.083750E-03,,,
-265.076000E-03,,,
-265.068250E-03,,,
-265.060500E-03,,,
-265.052750E-03,,,
-265.045000E-03,,,
-265.037250E-03,,,
-265.029500E-03,,,
-265.021750E-03,,,
-265.014000E-03,,,
-265.006250E-03,,,
-264.998500E-03,,,
-264.990750E-03,,,
-264.983000E-03,,,
-264.975250E-03,,,
-264.967500E-03,,,
-264.959750E-03,,,
-264.952000E-03,,,
-264.944249E-03,,,
-264.936499E-03,,,
-264.928749E-03,,,
-264.920999E-03,,,
-264.913249E-03,,,
-264.905499E-03,,,
-264.897749E-03,,,
-264.889999E-03,,,
-264.882249E-03,,,
-264.874499E-03,,,
-264.866749E-03,,,
-264.858999E-03,,,
-264.851249E-03,,,
-264.843499E-03,-8.245743E-03,-23.640148E-03,+34.848083E-03
-264.835749E-03,-1.984320E-03,-24.722994E-03,+3.540971E-03
-264.827999E-03,-8.678881E-03,-53.864410E-03,+35.930928E-03
-264.820249E-03,-15.373442E-03,+40.056914E-03,+34.848080E-03
-264.812499E-03,-21.851433E-03,-57.112951E-03,+1.375277E-03
-264.804749E-03,-22.068003E-03,-54.947252E-03,-28.848979E-03
-264.796999E-03,-28.545994E-03,+9.832654E-03,+34.848078E-03
-264.789249E-03,-28.545994E-03,+8.749803E-03,+2.458125E-03
-264.781499E-03,-28.979135E-03,-22.557297E-03,+3.540977E-03
-264.773749E-03,-41.718546E-03,+9.832654E-03,+35.930928E-03
-264.765999E-03,-35.240555E-03,+9.832654E-03,+34.848075E-03
-264.758249E-03,-34.807414E-03,+10.915508E-03,+4.623834E-03
-264.750499E-03,-22.068004E-03,+42.222602E-03,+66.155166E-03
-264.742749E-03,-28.545994E-03,+9.832654E-03,-29.931821E-03
-264.734999E-03,-28.329423E-03,+9.832654E-03,+1.375269E-03
-264.727249E-03,-21.851433E-03,+9.832654E-03,-29.931820E-03
-264.719499E-03,-21.634862E-03,+9.832654E-03,+3.540983E-03
-264.711749E-03,-15.156873E-03,+10.915513E-03,+33.765210E-03
-264.703999E-03,-14.290585E-03,+43.305457E-03,-29.931817E-03
-264.696249E-03,+11.621371E-03,+41.139735E-03,+2.458125E-03
-264.688499E-03,+12.054515E-03,-23.640148E-03,+2.458125E-03
-264.680749E-03,+24.793920E-03,-23.640148E-03,+2.458125E-03
-264.672999E-03,+18.532504E-03,-22.557285E-03,+2.458125E-03
-264.665249E-03,+25.227065E-03,+8.749790E-03,+3.540989E-03
-264.657499E-03,+31.921626E-03,-22.557284E-03,+35.930928E-03
-264.649749E-03,+38.616187E-03,+9.832654E-03,+35.930928E-03
-264.641999E-03,+45.094175E-03,+10.915520E-03,+34.848062E-03
-264.634249E-03,+44.877602E-03,+41.139723E-03,+2.458125E-03
-264.626499E-03,+38.183041E-03,-22.557280E-03,+1.375257E-03
-264.618749E-03,+31.488480E-03,+9.832654E-03,-29.931808E-03
-264.610999E-03,+24.793919E-03,+9.832654E-03,+4.623864E-03
-264.603249E-03,+18.099358E-03,+9.832654E-03,+68.320860E-03
-264.595499E-03,+11.404797E-03,+8.749783E-03,+35.930928E-03
-264.587749E-03,+4.060512E-03,-22.557276E-03,+33.765184E-03
-264.579999E-03,-22.068008E-03,+7.666909E-03,-28.848932E-03
-264.572249E-03,-28.762569E-03,-53.864330E-03,+33.765181E-03
-264.564499E-03,-35.673705E-03,+42.222582E-03,-29.931803E-03
-264.556749E-03,-48.629677E-03,+9.832654E-03,+2.458125E-03
-264.548999E-03,-49.062827E-03,+7.666902E-03,+1.375249E-03
-264.541249E-03,-62.018799E-03,-54.947197E-03,-29.931800E-03
-264.533499E-03,-62.018799E-03,+10.915532E-03,+2.458125E-03
-264.525749E-03,-62.235374E-03,+41.139700E-03,+3.541004E-03
-264.517999E-03,-68.280208E-03,-23.640148E-03,+33.765169E-03
-264.510249E-03,-55.540814E-03,-23.640148E-03,-31.014677E-03
-264.502499E-03,-62.018799E-03,-22.557268E-03,-29.931796E-03
-264.494749E-03,-61.802222E-03,+8.749773E-03,+2.458125E-03
-264.486999E-03,-55.107661E-03,-21.474383E-03,+4.623890E-03
-264.479249E-03,-48.413100E-03,+41.139690E-03,+67.237964E-03
-264.471499E-03,-41.501962E-03,-22.557264E-03,+1.375241E-03
-264.463749E-03,-28.329417E-03,+10.915539E-03,-28.848907E-03
-264.455999E-03,-21.634856E-03,+42.222571E-03,+35.930928E-03
-264.448248E-03,-14.723718E-03,+10.915541E-03,+33.765155E-03
-264.440498E-03,-1.984328E-03,+42.222569E-03,-28.848903E-03
-264.432748E-03,-8.245734E-03,+10.915542E-03,+35.930928E-03
-264.424998E-03,-1.551173E-03,+42.222568E-03,+35.930928E-03
-264.417248E-03,+5.359966E-03,+10.915544E-03,+33.765148E-03
-264.409498E-03,+18.315932E-03,+42.222566E-03,-29.931787E-03
-264.401748E-03,+18.315932E-03,+9.832654E-03,+2.458125E-03
-264.393998E-03,+18.099353E-03,+8.749762E-03,+3.541018E-03
-264.386248E-03,+11.621371E-03,-23.640148E-03,+35.930928E-03
-264.378498E-03,+11.621371E-03,-21.474361E-03,+33.765140E-03
-264.370748E-03,+11.837950E-03,+43.305457E-03,-29.931783E-03
-264.362998E-03,+18.315932E-03,+42.222561E-03,+1.375230E-03
-264.355248E-03,+18.532511E-03,+9.832654E-03,-28.848885E-03
-264.347498E-03,+24.793913E-03,+9.832654E-03,+34.848031E-03
-264.339748E-03,+18.532511E-03,+9.832654E-03,+1.375228E-03
-264.331998E-03,+24.793913E-03,+8.749756E-03,-28.848880E-03
-264.324248E-03,+18.532512E-03,-21.474349E-03,+33.765129E-03
-264.316498E-03,+24.793913E-03,+42.222556E-03,-29.931777E-03
-264.308748E-03,+18.749092E-03,+10.915555E-03,+2.458125E-03
-264.300998E-03,+31.271893E-03,+42.222555E-03,+3.541027E-03
-264.293248E-03,+18.532512E-03,+9.832654E-03,+35.930928E-03
-264.285498E-03,+25.660235E-03,+10.915558E-03,+35.930928E-03
-264.277748E-03,+44.877594E-03,+41.139648E-03,+34.848024E-03
-264.269998E-03,+38.399614E-03,-22.557243E-03,+1.375220E-03
-264.262248E-03,+38.616196E-03,+8.749748E-03,-31.014677E-03
-264.254498E-03,+44.877594E-03,-23.640148E-03,-31.014677E-03
-264.246748E-03,+38.832777E-03,-22.557241E-03,-32.097585E-03
-264.238998E-03,+51.788736E-03,+8.749746E-03,-61.238755E-03
-264.231248E-03,+51.572154E-03,-23.640148E-03,+35.930928E-03
-264.223498E-03,+44.877593E-03,-22.557238E-03,+34.848018E-03
-264.215748E-03,+38.832779E-03,+10.915565E-03,+1.375215E-03
-264.207998E-03,+51.355571E-03,+41.139633E-03,-29.931766E-03
-264.200248E-03,+38.399614E-03,-23.640148E-03,+2.458125E-03
-264.192498E-03,+38.399614E-03,-23.640148E-03,+2.458125E-03
-264.184748E-03,+38.399614E-03,-22.557234E-03,+1.375211E-03
-264.176998E-03,+38.183031E-03,+9.832654E-03,-29.931762E-03
-264.169248E-03,+31.705054E-03,+8.749739E-03,+2.458125E-03
-264.161498E-03,+31.271887E-03,-23.640148E-03,+3.541042E-03
-264.153748E-03,+18.532515E-03,-22.557231E-03,+33.765093E-03
-264.145998E-03,+25.227076E-03,+10.915572E-03,-29.931759E-03
-264.138248E-03,+31.488470E-03,+42.222538E-03,+3.541044E-03
-264.130498E-03,+25.227077E-03,+9.832654E-03,+34.848008E-03
-264.122748E-03,+31.921638E-03,+10.915575E-03,+2.458125E-03
-264.114998E-03,+38.616199E-03,+42.222535E-03,+2.458125E-03
-264.107248E-03,+45.527344E-03,+9.832654E-03,+2.458125E-03
-264.099498E-03,+58.483297E-03,+9.832654E-03,+2.458125E-03
-264.091748E-03,+58.483297E-03,+9.832654E-03,+2.458125E-03
-264.083998E-03,+58.699882E-03,+10.915579E-03,+1.375201E-03
-264.076248E-03,+64.961273E-03,+42.222531E-03,-31.014677E-03
-264.068498E-03,+58.699882E-03,+9.832654E-03,-28.848825E-03
-264.060748E-03,+65.177858E-03,+8.749727E-03,+37.013855E-03
-264.052998E-03,+64.961272E-03,-21.474293E-03,+65.072019E-03
-264.045248E-03,+58.483297E-03,+41.139599E-03,-61.238694E-03
-264.037498E-03,+58.483297E-03,-24.723078E-03,+33.765069E-03
-264.029748E-03,+58.483297E-03,-54.947090E-03,-29.931747E-03
-264.021998E-03,+58.266711E-03,+9.832654E-03,+3.541056E-03
-264.014248E-03,+51.572150E-03,+7.666790E-03,+35.930928E-03
-264.006498E-03,+45.310762E-03,-54.947086E-03,+33.765063E-03
-263.998748E-03,+51.355563E-03,+8.749721E-03,-28.848810E-03
-263.990998E-03,+38.616201E-03,-21.474280E-03,+35.930928E-03
-263.983248E-03,+44.877588E-03,+43.305457E-03,+33.765058E-03
-263.975498E-03,+38.616202E-03,+42.222521E-03,-28.848805E-03
-263.967748E-03,+44.877588E-03,+9.832654E-03,+33.765054E-03
-263.959998E-03,+38.183027E-03,+9.832654E-03,-28.848802E-03
-263.952248E-03,+31.705054E-03,+9.832654E-03,+35.930928E-03
-263.944497E-03,+31.921641E-03,+8.749715E-03,+35.930928E-03
-263.936747E-03,+38.183026E-03,-23.640148E-03,+35.930928E-03
-263.928997E-03,+31.921642E-03,-22.557208E-03,+34.847987E-03
-263.921247E-03,+38.616203E-03,+8.749713E-03,+2.458125E-03
-263.913497E-03,+45.527352E-03,-22.557206E-03,+1.375183E-03
-263.905747E-03,+58.266708E-03,+10.915597E-03,-29.931734E-03
-263.897997E-03,+51.788736E-03,+42.222513E-03,+2.458125E-03
-263.890247E-03,+51.788736E-03,+9.832654E-03,+1.375181E-03
-263.882497E-03,+52.005325E-03,+9.832654E-03,-29.931732E-03
-263.874747E-03,+58.483297E-03,+10.915601E-03,+2.458125E-03
-263.866997E-03,+58.483297E-03,+40.056615E-03,+1.375178E-03
-263.859247E-03,+58.483297E-03,-54.947055E-03,-29.931729E-03
-263.851497E-03,+58.266707E-03,+9.832654E-03,+3.541074E-03
-263.843747E-03,+52.221916E-03,+9.832654E-03,+34.847978E-03
-263.835997E-03,+64.744678E-03,+9.832654E-03,+2.458125E-03
-263.828247E-03,+51.572146E-03,+8.749703E-03,+1.375174E-03
-263.820497E-03,+44.877585E-03,-22.557196E-03,-28.848773E-03
-263.812747E-03,+38.399614E-03,+9.832654E-03,+35.930928E-03
-263.804997E-03,+38.183024E-03,+10.915608E-03,+33.765020E-03
-263.797247E-03,+31.705054E-03,+41.139548E-03,-31.014677E-03
-263.789497E-03,+31.488462E-03,-22.557193E-03,-28.848766E-03
-263.781747E-03,+24.793901E-03,+9.832654E-03,+34.847972E-03
-263.773997E-03,+18.315932E-03,+9.832654E-03,+3.541082E-03
-263.766247E-03,+18.099340E-03,+10.915612E-03,+34.847970E-03
-263.758497E-03,+11.837963E-03,+42.222498E-03,+1.375167E-03
-263.750747E-03,+18.315932E-03,+10.915614E-03,-29.931718E-03
-263.742997E-03,+17.882748E-03,+42.222496E-03,+2.458125E-03
-263.735247E-03,+5.359994E-03,+8.749693E-03,+3.541086E-03
-263.727497E-03,+18.315932E-03,-23.640148E-03,+34.847966E-03
-263.719747E-03,+18.749117E-03,-22.557186E-03,+3.541088E-03
-263.711997E-03,+31.705054E-03,+9.832654E-03,+35.930928E-03
-263.704247E-03,+31.705054E-03,+9.832654E-03,+34.847964E-03
-263.696497E-03,+31.705054E-03,+9.832654E-03,+1.375160E-03
-263.688747E-03,+31.921647E-03,+10.915620E-03,-29.931711E-03
-263.680997E-03,+38.832801E-03,+41.139523E-03,+4.624059E-03
-263.673247E-03,+51.572143E-03,-22.557181E-03,+67.237795E-03
-263.665497E-03,+44.877582E-03,+7.666718E-03,+2.458125E-03
-263.657747E-03,+38.399614E-03,-56.029982E-03,+2.458125E-03
-263.649997E-03,+38.399614E-03,-22.557178E-03,+2.458125E-03
-263.642247E-03,+38.183020E-03,+9.832654E-03,+3.541096E-03
-263.634497E-03,+31.488459E-03,+8.749683E-03,+33.764985E-03
-263.626747E-03,+24.793898E-03,-22.557176E-03,-31.014677E-03
-263.618997E-03,+17.666148E-03,+7.666708E-03,-28.848731E-03
-263.611247E-03,-1.767751E-03,-54.947003E-03,+34.847954E-03
-263.603497E-03,-1.984346E-03,+9.832654E-03,+1.375151E-03
-263.595747E-03,-8.678907E-03,+9.832654E-03,-29.931702E-03
-263.587997E-03,-15.156873E-03,+9.832654E-03,+4.624078E-03
-263.580247E-03,-15.373468E-03,+10.915631E-03,+67.237776E-03
-263.572497E-03,-22.068029E-03,+42.222479E-03,+3.541103E-03
-263.564747E-03,-28.762590E-03,+9.832654E-03,+33.764970E-03
-263.556997E-03,-35.023959E-03,+8.749675E-03,-28.848718E-03
-263.549247E-03,-28.112802E-03,-22.557168E-03,+35.930928E-03
-263.541497E-03,-15.373469E-03,+9.832654E-03,+34.847947E-03
-263.533747E-03,-22.068030E-03,+9.832654E-03,+4.624089E-03
-263.525997E-03,-28.112801E-03,+8.749671E-03,+68.320747E-03
-263.518247E-03,-14.723679E-03,-24.723132E-03,+34.847944E-03
-263.510497E-03,-1.767751E-03,-54.946982E-03,+1.375141E-03
-263.502747E-03,-1.767751E-03,+7.666684E-03,-28.848707E-03
-263.494997E-03,-1.984348E-03,-53.863993E-03,+34.847942E-03
