x-axis,1,2
second,Volt,Volt
-114.400000E-03,,
-114.396900E-03,,
-114.393800E-03,,
-114.390700E-03,,
-114.387600E-03,,
-114.384500E-03,,
-114.381400E-03,,
-114.378300E-03,,
-114.375200E-03,-19.320089E-03,+11.476948E-03
-114.372100E-03,-19.320089E-03,+78.422559E-03
-114.369000E-03,-19.320089E-03,-11.200891E-03
-114.365900E-03,-13.057326E-03,+13.635953E-03
-114.362800E-03,-25.151056E-03,-15.518878E-03
-114.359700E-03,-19.751886E-03,+13.635959E-03
-114.356600E-03,-25.582854E-03,-15.518883E-03
-114.353500E-03,-19.751885E-03,+44.949791E-03
-114.350400E-03,-25.582856E-03,+49.267743E-03
-114.347300E-03,-13.489117E-03,+49.267743E-03
-114.344200E-03,-18.888296E-03,+17.953908E-03
-114.341100E-03,-13.057321E-03,+15.794940E-03
-114.338000E-03,-18.888297E-03,+15.794940E-03
-114.334900E-03,-13.057320E-03,+15.794940E-03
-114.331800E-03,-25.151068E-03,-15.518906E-03
-114.328700E-03,-13.489110E-03,+13.635987E-03
-114.325600E-03,-12.625528E-03,+15.794940E-03
-114.322500E-03,-18.888300E-03,+15.794940E-03
-114.319400E-03,-25.582861E-03,+15.794940E-03
-114.316300E-03,-7.226333E-03,+47.108801E-03
-114.313200E-03,-12.193741E-03,+49.267743E-03
-114.310100E-03,-18.888302E-03,+17.953877E-03
-114.307000E-03,-19.320089E-03,+15.794940E-03
-114.303900E-03,-6.794540E-03,+47.108812E-03
-114.300800E-03,-24.719293E-03,+17.953868E-03
-114.297700E-03,-13.489099E-03,+15.794940E-03
-114.294600E-03,-12.625528E-03,+47.108821E-03
-114.291500E-03,-6.362752E-03,+49.267743E-03
-114.288400E-03,-5.930968E-03,+49.267743E-03
-114.285300E-03,-12.193746E-03,-13.360035E-03
-114.282200E-03,-6.362750E-03,-17.677862E-03
-114.279100E-03,-5.930968E-03,+13.636032E-03
-114.276000E-03,-5.930968E-03,-15.518957E-03
-114.272900E-03,-5.930968E-03,-17.677862E-03
-114.269800E-03,-12.193749E-03,+13.636041E-03
-114.266700E-03,+6.162816E-03,+15.794940E-03
-114.263600E-03,-5.067410E-03,-15.518968E-03
-114.260500E-03,+6.594598E-03,+44.949961E-03
-114.257400E-03,-5.067412E-03,+49.267743E-03
-114.254300E-03,-5.930968E-03,+49.267743E-03
-114.251200E-03,+6.594601E-03,+17.953823E-03
-114.248100E-03,+1.195369E-03,+47.108863E-03
-114.245000E-03,+763.593E-06,+49.267743E-03
-114.241900E-03,+763.593E-06,-13.360114E-03
